#MATRIX_SIZE : 2048
#START : dimanche 13 mai 2012, 17:03:09 (UTC+0200)
#num_iteration	ydim_gpu	speedup
set zlabel "accélération"
10	448	4.4186074
10	512	4.429731
10	576	7.2133772
10	640	5.9270826
10	704	7.1129648
10	768	7.5897774
10	832	5.623388
10	896	8.0321288
10	960	6.503261
10	1024	4.8426336
10	1088	6.3118768
10	1152	5.0085244
10	1216	5.4229694
10	1280	5.7208722
10	1344	4.5316988
10	1408	4.7630616
10	1472	4.1433502
10	1536	5.0182012
10	1600	5.0137506
10	1664	3.8077966
10	1728	4.0794344
10	1792	4.5413366
10	1856	4.4096952
10	1920	4.269323
10	1984	5.6846372
10	2048	5.1292448
11	0	6.7420312
11	64	4.530946
11	128	5.4599176
11	192	5.570381
11	256	6.5472326
11	320	6.7338064
11	384	7.601955
11	448	7.5926716
11	512	6.62115
11	576	6.0052602
11	640	8.3485578
11	704	7.5535722
11	768	6.9227568
11	832	7.6910874
11	896	7.3691516
11	960	8.457928
11	1024	7.8152358
11	1088	8.0835774
11	1152	3.1183682
11	1216	5.1517504
11	1280	7.0689258
11	1344	6.7639122
11	1408	4.0857338
11	1472	5.0357934
11	1536	4.7521824
11	1600	3.7503364
11	1664	4.5973646
11	1728	4.7286304
11	1792	2.7310038
11	1856	4.4617596
11	1920	4.034742
11	1984	4.3724342
11	2048	0.9375646
12	0	2.2011736
12	64	4.2543096
12	128	4.2505784
12	192	5.552173
12	256	4.2743246
12	320	4.7395532
12	384	6.7358636
12	448	6.7133786
12	512	5.3149238
12	576	5.2254714
12	640	6.2440704
12	704	4.0718016
12	768	7.8521182
12	832	5.9596148
12	896	7.4917238
12	960	5.6293626
12	1024	5.6518422
12	1088	6.6004888
12	1152	6.63436
12	1216	6.3249786
12	1280	5.7999178
12	1344	5.5610954
12	1408	5.6282116
12	1472	4.1164334
12	1536	4.9339686
12	1600	4.6941204
12	1664	0
12	1728	4.3507932
12	1792	5.4305836
12	1856	4.2065738
12	1920	6.1729038
12	1984	4.3645984
12	2048	4.0353656
13	0	5.7945466
13	64	5.979228
13	128	5.540781
13	192	5.723547
